branch_id,branch_name,city,state,country,zip_code,manager_employee_id,opened_date,created_at,updated_at,source_system
BR00000018,ALAPPUZHA Financial Centre,ALAPPUZHA,KERALA,India,690529,,1997-07-27,2026-07-23 01:49:24.008998,,Enterprise System
BR00000019,GHAZIABAD Commercial Branch,GHAZIABAD,UTTAR PRADESH,India,201019,,1999-09-29,2026-07-23 01:49:24.008998,,Enterprise System
BR00000020,PALAKKAD Main Branch,PALAKKAD,KERALA,India,679515,,2003-12-30,2026-07-23 01:49:24.010045,,Enterprise System
BR00000021,DIBRUGARH Retail Branch,DIBRUGARH,ASSAM,India,786613,,2004-06-21,2026-07-23 01:49:24.010045,,Enterprise System
BR00000022,HAVERI Regional Office,HAVERI,KARNATAKA,India,581202,,2013-10-01,2026-07-23 01:49:24.010990,,Enterprise System
BR00000023,MAHABUBABAD Business Centre,MAHABUBABAD,TELANGANA,India,506381,,2017-01-14,2026-07-23 01:49:24.011992,,Enterprise System
BR00000024,KARUR Commercial Branch,KARUR,TAMIL NADU,India,639110,,1997-06-16,2026-07-23 01:49:24.011992,,Enterprise System
BR00000025,WEST JAINTIA HILLS Retail Branch,WEST JAINTIA HILLS,MEGHALAYA,India,793119,,2015-08-26,2026-07-23 01:49:24.012991,,Enterprise System
BR00000026,AURANGABAD Corporate Branch,AURANGABAD,BIHAR,India,824143,,2003-04-28,2026-07-23 01:49:24.012991,,Enterprise System
BR00000027,EAST Business Centre,EAST,DELHI,India,110091,,2020-12-01,2026-07-23 01:49:24.014008,,Enterprise System
BR00000028,PURBI CHAMPARAN City Branch,PURBI CHAMPARAN,BIHAR,India,845419,,2018-09-01,2026-07-23 01:49:24.014008,,Enterprise System
BR00000029,BALESHWAR City Branch,BALESHWAR,ODISHA,India,756051,,2020-06-01,2026-07-23 01:49:24.014988,,Enterprise System
BR00000030,PASCHIM BARDHAMAN Regional Office,PASCHIM BARDHAMAN,WEST BENGAL,India,713212,,2015-02-05,2026-07-23 01:49:24.014988,,Enterprise System
BR00000031,LUDHIANA City Branch,LUDHIANA,PUNJAB,India,141120,,2010-10-30,2026-07-23 01:49:24.016006,,Enterprise System
BR00000032,GONDIA Business Centre,GONDIA,MAHARASHTRA,India,441806,,2004-01-21,2026-07-23 01:49:24.016006,,Enterprise System
BR00000033,ANAND Business Centre,ANAND,GUJARAT,India,388150,,2011-11-03,2026-07-23 01:49:24.017004,,Enterprise System
BR00000034,NAVSARI Commercial Branch,NAVSARI,GUJARAT,India,396380,,2016-08-09,2026-07-23 01:49:24.017004,,Enterprise System
BR00000035,PANCH MAHALS Main Branch,PANCH MAHALS,GUJARAT,India,389210,,2006-01-08,2026-07-23 01:49:24.017996,,Enterprise System
BR00000036,SONIPAT Financial Centre,SONIPAT,HARYANA,India,131305,,2024-02-05,2026-07-23 01:49:24.017996,,Enterprise System
BR00000037,PURNIA City Branch,PURNIA,BIHAR,India,854327,,1996-10-10,2026-07-23 01:49:24.019075,,Enterprise System
BR00000038,DHANBAD Regional Office,DHANBAD,JHARKHAND,India,828401,,2022-05-17,2026-07-23 01:49:24.019075,,Enterprise System
BR00000039,CHITTOOR City Branch,CHITTOOR,ANDHRA PRADESH,India,517643,,2023-12-22,2026-07-23 01:49:24.020078,,Enterprise System
BR00000040,CHIKKABALLAPURA Commercial Branch,CHIKKABALLAPURA,KARNATAKA,India,561213,,2001-12-27,2026-07-23 01:49:24.020078,,Enterprise System
BR00000041,UTTARA KANNADA Business Centre,UTTARA KANNADA,KARNATAKA,India,581314,,2020-04-23,2026-07-23 01:49:24.021001,,Enterprise System
BR00000042,BHAVNAGAR Corporate Branch,BHAVNAGAR,GUJARAT,India,364145,,2010-12-08,2026-07-23 01:49:24.021001,,Enterprise System
BR00000043,JHANSI City Branch,JHANSI,UTTAR PRADESH,India,284419,,2008-02-18,2026-07-23 01:49:24.022070,,Enterprise System
BR00000044,HYDERABAD Main Branch,HYDERABAD,TELANGANA,India,500063,,2006-01-04,2026-07-23 01:49:24.022070,,Enterprise System
BR00000045,TIRUCHIRAPPALLI Corporate Branch,TIRUCHIRAPPALLI,TAMIL NADU,India,621305,,2001-11-05,2026-07-23 01:49:24.023055,,Enterprise System
BR00000046,MADURAI Commercial Branch,MADURAI,TAMIL NADU,India,625020,,2003-11-18,2026-07-23 01:49:24.023055,,Enterprise System
BR00000047,MALAPPURAM City Branch,MALAPPURAM,KERALA,India,676562,,2022-07-14,2026-07-23 01:49:24.024090,,Enterprise System
BR00000048,MANCHERIAL Corporate Branch,MANCHERIAL,TELANGANA,India,504201,,2008-01-04,2026-07-23 01:49:24.024090,,Enterprise System
BR00000049,PASCHIM BARDHAMAN City Branch,PASCHIM BARDHAMAN,WEST BENGAL,India,713361,,2000-01-13,2026-07-23 01:49:24.025031,,Enterprise System
BR00000050,JAIPUR Regional Office,JAIPUR,RAJASTHAN,India,303002,,1999-09-17,2026-07-23 01:49:24.026063,,Enterprise System
