loan_id,customer_id,loan_type,principal_amount,interest_rate,tenure_months,emi_amount,loan_status,disbursement_date,created_at,updated_at,source_system
LN00000016,CUST00002601,Home Loan,9174793.18,13.02,221,109644.18,Active,2018-10-06,2026-08-03 11:22:39.249638,,Loan Management System
LN00000017,CUST00004626,Personal Loan,1332790.57,13.89,21,71856.75,Active,2012-02-16,2026-08-03 11:22:39.249638,,Loan Management System
LN00000018,CUST00002775,Home Loan,5832997.27,9.52,359,49156.22,Active,2012-02-04,2026-08-03 11:22:39.250731,,Loan Management System
LN00000019,CUST00004051,Car Loan,1213590.04,17.97,29,51898.05,Active,2013-03-07,2026-08-03 11:22:39.250731,,Loan Management System
LN00000020,CUST00004643,Home Loan,947605.57,7.76,141,10264.09,Closed,2015-04-22,2026-08-03 11:22:39.250731,,Loan Management System
LN00000021,CUST00004277,Personal Loan,142115.17,10.89,41,4166.49,Active,2015-07-18,2026-08-03 11:22:39.251691,,Loan Management System
LN00000022,CUST00003567,Gold Loan,2155429.76,6.63,10,222146.92,Closed,2020-03-08,2026-08-03 11:22:39.251691,,Loan Management System
LN00000023,CUST00002277,Car Loan,947110.53,13.87,26,42383.12,Active,2021-10-29,2026-08-03 11:22:39.252306,,Loan Management System
LN00000024,CUST00001695,Home Loan,530830.5,14.8,194,7216.08,Written Off,2012-01-14,2026-08-03 11:22:39.252395,,Loan Management System
LN00000025,CUST00001294,Education Loan,2079958.53,7.72,112,26115.35,Closed,2021-02-18,2026-08-03 11:22:39.252395,,Loan Management System
LN00000026,CUST00004200,Car Loan,756951.08,10.8,32,27329.84,Active,2014-12-20,2026-08-03 11:22:39.252395,,Loan Management System
LN00000027,CUST00004515,Education Loan,2168379.32,6.51,118,24929.25,Active,2023-10-08,2026-08-03 11:22:39.253337,,Loan Management System
LN00000028,CUST00000288,Home Loan,3948317.29,17.83,217,61156.96,Active,2022-08-23,2026-08-03 11:22:39.253337,,Loan Management System
LN00000029,CUST00003770,Home Loan,5889890.97,7.41,308,42796.4,Closed,2023-07-08,2026-08-03 11:22:39.253337,,Loan Management System
LN00000030,CUST00001966,Gold Loan,1343447.77,7.95,33,45456.91,Pending,2020-11-09,2026-08-03 11:22:39.253337,,Loan Management System
LN00000031,CUST00000797,Home Loan,5512900.98,13.48,168,73123.26,Pending,2018-09-21,2026-08-03 11:22:39.253337,,Loan Management System
LN00000032,CUST00003293,Education Loan,2790483.77,14.7,138,42011.48,Written Off,2015-05-03,2026-08-03 11:22:39.254412,,Loan Management System
LN00000033,CUST00001408,Car Loan,1426680.23,12.45,27,60857.85,Active,2019-03-25,2026-08-03 11:22:39.254412,,Loan Management System
LN00000034,CUST00000955,Home Loan,699825.47,12.87,172,8931.37,Active,2021-08-11,2026-08-03 11:22:39.254412,,Loan Management System
LN00000035,CUST00003006,Education Loan,329607.69,7.28,44,8557.89,Defaulted,2016-04-26,2026-08-03 11:22:39.255364,,Loan Management System
LN00000036,CUST00000660,Home Loan,2761044.03,14.19,169,37838.83,Active,2025-05-10,2026-08-03 11:22:39.255364,,Loan Management System
LN00000037,CUST00004989,Education Loan,3541293.99,13.13,98,59086.83,Closed,2026-05-17,2026-08-03 11:22:39.255364,,Loan Management System
LN00000038,CUST00001755,Business Loan,4212993.33,7.61,67,77378.58,Active,2011-09-12,2026-08-03 11:22:39.256315,,Loan Management System
LN00000039,CUST00001407,Personal Loan,1302563.29,7.12,53,28715.38,Written Off,2024-06-30,2026-08-03 11:22:39.256315,,Loan Management System
LN00000040,CUST00002401,Home Loan,4324902.18,10.4,115,59561.82,Active,2025-04-18,2026-08-03 11:22:39.256315,,Loan Management System
LN00000041,CUST00002427,Home Loan,4761828.7,11.35,202,52945.21,Active,2014-04-21,2026-08-03 11:22:39.256315,,Loan Management System
LN00000042,CUST00003896,Business Loan,1970005.32,15.79,82,39415.58,Active,2023-06-19,2026-08-03 11:22:39.256315,,Loan Management System
LN00000043,CUST00004234,Car Loan,1713646.23,6.67,23,79576.91,Pending,2018-10-11,2026-08-03 11:22:39.257408,,Loan Management System
LN00000044,CUST00000465,Business Loan,3743066.66,12.08,39,116521.94,Defaulted,2017-05-17,2026-08-03 11:22:39.257408,,Loan Management System
LN00000045,CUST00002106,Business Loan,3710423.87,6.52,61,71625.99,Active,2016-04-24,2026-08-03 11:22:39.257408,,Loan Management System
LN00000046,CUST00000859,Education Loan,1874532.63,11.36,178,21824.8,Closed,2014-03-26,2026-08-03 11:22:39.257408,,Loan Management System
LN00000047,CUST00001014,Personal Loan,325351.91,9.0,15,23014.22,Closed,2015-04-01,2026-08-03 11:22:39.258412,,Loan Management System
LN00000048,CUST00004992,Car Loan,2294331.57,7.16,73,38861.49,Active,2024-07-29,2026-08-03 11:22:39.258412,,Loan Management System
LN00000049,CUST00003699,Business Loan,3569938.19,17.55,22,190946.21,Defaulted,2017-04-24,2026-08-03 11:22:39.258412,,Loan Management System
LN00000050,CUST00002137,Home Loan,1145628.2,16.41,266,16100.76,Active,2013-04-29,2026-08-03 11:22:39.259411,,Loan Management System
LN00000051,CUST00002243,Business Loan,5301199.28,13.34,91,92903.2,Active,2013-03-01,2026-08-03 11:22:39.259411,,Loan Management System
LN00000052,CUST00004715,Car Loan,1782635.39,10.14,45,47787.07,Active,2018-01-18,2026-08-03 11:22:39.259411,,Loan Management System
LN00000053,CUST00000637,Education Loan,1030875.22,11.05,112,14791.07,Active,2013-03-25,2026-08-03 11:22:39.259411,,Loan Management System
LN00000054,CUST00001351,Gold Loan,2340942.36,6.61,9,267320.89,Active,2017-09-10,2026-08-03 11:22:39.260401,,Loan Management System
LN00000055,CUST00002298,Home Loan,3019403.94,17.23,95,58437.27,Defaulted,2026-01-02,2026-08-03 11:22:39.260401,,Loan Management System
LN00000056,CUST00003941,Personal Loan,278732.91,16.09,57,7025.64,Active,2017-06-09,2026-08-03 11:22:39.260401,,Loan Management System
LN00000057,CUST00002831,Gold Loan,2022572.36,12.58,22,103422.85,Pending,2021-11-09,2026-08-03 11:22:39.260401,,Loan Management System
LN00000058,CUST00001063,Home Loan,8842206.17,9.54,114,118236.51,Closed,2016-02-01,2026-08-03 11:22:39.261406,,Loan Management System
LN00000059,CUST00002759,Home Loan,3176684.58,8.92,235,28638.04,Active,2025-04-26,2026-08-03 11:22:39.261406,,Loan Management System
LN00000060,CUST00002171,Car Loan,939154.92,12.12,18,57323.96,Active,2012-04-28,2026-08-03 11:22:39.261406,,Loan Management System
LN00000061,CUST00004928,Personal Loan,451186.32,6.54,20,23872.49,Closed,2024-01-01,2026-08-03 11:22:39.261406,,Loan Management System
LN00000062,CUST00000335,Personal Loan,1124784.82,12.84,39,35427.37,Closed,2019-05-27,2026-08-03 11:22:39.262409,,Loan Management System
LN00000063,CUST00001543,Home Loan,9477983.92,14.45,136,142014.47,Active,2020-09-16,2026-08-03 11:22:39.262409,,Loan Management System
LN00000064,CUST00004067,Business Loan,11858936.55,8.2,28,466783.81,Active,2013-09-16,2026-08-03 11:22:39.262409,,Loan Management System
LN00000065,CUST00003337,Personal Loan,1402977.62,17.68,14,111636.85,Defaulted,2018-01-10,2026-08-03 11:22:39.263017,,Loan Management System
LN00000066,CUST00003222,Home Loan,2870532.52,7.68,346,20641.86,Defaulted,2012-12-04,2026-08-03 11:22:39.263017,,Loan Management System
LN00000067,CUST00001365,Personal Loan,949959.19,8.28,27,38683.63,Defaulted,2020-12-23,2026-08-03 11:22:39.263017,,Loan Management System
LN00000068,CUST00002123,Gold Loan,2031660.01,16.64,4,525643.96,Active,2016-07-28,2026-08-03 11:22:39.263017,,Loan Management System
LN00000069,CUST00004425,Gold Loan,1961406.58,11.23,18,118910.21,Active,2025-09-11,2026-08-03 11:22:39.264113,,Loan Management System
LN00000070,CUST00000969,Education Loan,521572.94,16.53,156,8148.98,Active,2022-04-13,2026-08-03 11:22:39.264113,,Loan Management System
LN00000071,CUST00003470,Business Loan,9475913.08,10.01,113,129823.7,Defaulted,2022-02-09,2026-08-03 11:22:39.264113,,Loan Management System
LN00000072,CUST00000350,Home Loan,6770315.24,11.08,202,74085.18,Defaulted,2026-03-31,2026-08-03 11:22:39.264113,,Loan Management System
LN00000073,CUST00002885,Gold Loan,715834.36,13.88,28,30074.79,Closed,2017-09-27,2026-08-03 11:22:39.265121,,Loan Management System
LN00000074,CUST00001411,Business Loan,6957422.43,6.82,45,175658.43,Active,2021-05-29,2026-08-03 11:22:39.265121,,Loan Management System
LN00000075,CUST00004601,Gold Loan,682029.25,7.75,30,25080.87,Active,2014-11-09,2026-08-03 11:22:39.265121,,Loan Management System
LN00000076,CUST00003634,Education Loan,1801936.15,17.82,65,43411.39,Active,2023-07-29,2026-08-03 11:22:39.265121,,Loan Management System
LN00000077,CUST00003835,Car Loan,913223.02,14.65,12,82275.22,Active,2012-10-08,2026-08-03 11:22:39.266119,,Loan Management System
LN00000078,CUST00000847,Business Loan,13893714.36,17.31,106,256655.75,Closed,2012-05-13,2026-08-03 11:22:39.266119,,Loan Management System
LN00000079,CUST00001389,Personal Loan,151462.03,14.14,33,5566.46,Closed,2022-11-01,2026-08-03 11:22:39.266119,,Loan Management System
LN00000080,CUST00002576,Car Loan,548950.88,16.85,76,11796.04,Active,2015-06-19,2026-08-03 11:22:39.266119,,Loan Management System
LN00000081,CUST00004612,Personal Loan,633480.56,9.9,20,34489.15,Active,2024-09-26,2026-08-03 11:22:39.267112,,Loan Management System
LN00000082,CUST00002049,Car Loan,1261606.78,15.1,34,45837.44,Closed,2016-07-05,2026-08-03 11:22:39.267112,,Loan Management System
LN00000083,CUST00000486,Personal Loan,844508.96,6.5,30,30575.43,Active,2012-12-10,2026-08-03 11:22:39.267112,,Loan Management System
LN00000084,CUST00001925,Education Loan,2465980.12,10.21,149,29261.92,Active,2026-02-19,2026-08-03 11:22:39.267112,,Loan Management System
LN00000085,CUST00003965,Home Loan,4995268.77,16.86,146,80709.35,Closed,2015-07-19,2026-08-03 11:22:39.268027,,Loan Management System
LN00000086,CUST00001440,Personal Loan,1012588.06,13.62,17,65831.47,Closed,2026-04-30,2026-08-03 11:22:39.268027,,Loan Management System
LN00000087,CUST00000753,Education Loan,2723903.12,9.08,86,43204.16,Active,2013-04-21,2026-08-03 11:22:39.268027,,Loan Management System
LN00000088,CUST00004485,Home Loan,9847392.22,13.53,97,167475.04,Active,2018-01-20,2026-08-03 11:22:39.269024,,Loan Management System
LN00000089,CUST00000415,Business Loan,11725582.54,14.76,61,274395.41,Active,2016-04-25,2026-08-03 11:22:39.269024,,Loan Management System
LN00000090,CUST00002076,Home Loan,6732551.11,6.56,114,79515.07,Closed,2019-04-20,2026-08-03 11:22:39.269024,,Loan Management System
LN00000091,CUST00004402,Home Loan,8139043.63,14.5,297,101204.14,Active,2022-05-27,2026-08-03 11:22:39.269024,,Loan Management System
LN00000092,CUST00003385,Home Loan,8559195.3,11.75,297,88719.92,Closed,2025-10-10,2026-08-03 11:22:39.270126,,Loan Management System
LN00000093,CUST00001444,Gold Loan,1498744.49,17.43,31,60389.78,Closed,2017-10-16,2026-08-03 11:22:39.270126,,Loan Management System
LN00000094,CUST00004571,Education Loan,2068634.84,16.05,176,30622.52,Active,2014-05-09,2026-08-03 11:22:39.270126,,Loan Management System
LN00000095,CUST00001611,Home Loan,8684201.64,11.68,186,101232.29,Closed,2017-11-19,2026-08-03 11:22:39.270126,,Loan Management System
LN00000096,CUST00000877,Personal Loan,1177628.51,12.07,27,50023.75,Active,2017-08-18,2026-08-03 11:22:39.271035,,Loan Management System
LN00000097,CUST00003594,Home Loan,3214417.43,9.62,223,30992.32,Defaulted,2015-02-24,2026-08-03 11:22:39.271035,,Loan Management System
LN00000098,CUST00001966,Home Loan,1932891.25,10.9,138,24628.54,Closed,2022-12-27,2026-08-03 11:22:39.271035,,Loan Management System
LN00000099,CUST00000896,Home Loan,4372194.01,12.74,272,49200.76,Active,2016-02-16,2026-08-03 11:22:39.271035,,Loan Management System
LN00000100,CUST00004825,Business Loan,8094797.85,15.35,101,143215.6,Active,2023-07-11,2026-08-03 11:22:39.271035,,Loan Management System
LN00000101,CUST00003256,Business Loan,11725961.76,11.99,57,270829.18,Active,2023-03-20,2026-08-03 11:22:39.271035,,Loan Management System
LN00000102,CUST00003377,Personal Loan,1342880.24,16.11,46,39318.53,Closed,2022-08-11,2026-08-03 11:22:39.272744,,Loan Management System
LN00000103,CUST00002847,Car Loan,1889107.25,9.04,40,54876.48,Active,2012-10-19,2026-08-03 11:22:39.272744,,Loan Management System
LN00000104,CUST00001648,Personal Loan,613842.94,14.19,37,20579.87,Closed,2021-12-13,2026-08-03 11:22:39.272744,,Loan Management System
LN00000105,CUST00000103,Business Loan,18431061.6,17.78,80,394813.17,Active,2022-05-22,2026-08-03 11:22:39.272744,,Loan Management System
LN00000106,CUST00004796,Personal Loan,868368.38,6.81,53,19017.74,Active,2014-07-01,2026-08-03 11:22:39.273648,,Loan Management System
LN00000107,CUST00000674,Business Loan,4043716.02,9.49,53,93696.72,Active,2020-09-03,2026-08-03 11:22:39.273648,,Loan Management System
LN00000108,CUST00002631,Personal Loan,1153783.08,10.86,60,25005.56,Written Off,2023-12-28,2026-08-03 11:22:39.273648,,Loan Management System
LN00000109,CUST00004565,Personal Loan,1260620.83,11.91,59,28332.26,Active,2015-10-02,2026-08-03 11:22:39.273648,,Loan Management System
LN00000110,CUST00004072,Gold Loan,891151.85,13.98,5,184507.62,Closed,2014-05-14,2026-08-03 11:22:39.274755,,Loan Management System
LN00000111,CUST00003535,Gold Loan,518417.69,6.73,12,44792.49,Active,2019-06-14,2026-08-03 11:22:39.274755,,Loan Management System
LN00000112,CUST00002362,Personal Loan,215864.7,17.4,41,7021.16,Closed,2018-01-15,2026-08-03 11:22:39.274755,,Loan Management System
LN00000113,CUST00003355,Education Loan,754377.66,13.48,65,16416.27,Closed,2016-03-06,2026-08-03 11:22:39.274755,,Loan Management System
LN00000114,CUST00000704,Home Loan,3454869.74,13.15,219,41692.0,Closed,2022-06-22,2026-08-03 11:22:39.275749,,Loan Management System
LN00000115,CUST00004122,Business Loan,7818485.71,17.33,37,274257.18,Active,2023-04-18,2026-08-03 11:22:39.275749,,Loan Management System
LN00000116,CUST00004459,Car Loan,1956278.71,7.67,50,45833.8,Defaulted,2021-01-22,2026-08-03 11:22:39.275749,,Loan Management System
LN00000117,CUST00004249,Car Loan,538954.18,17.81,17,36104.14,Active,2015-04-28,2026-08-03 11:22:39.275749,,Loan Management System
LN00000118,CUST00002958,Personal Loan,587327.77,12.32,33,21073.02,Active,2023-03-27,2026-08-03 11:22:39.276746,,Loan Management System
LN00000119,CUST00000795,Personal Loan,760792.47,11.49,35,25685.22,Closed,2017-02-07,2026-08-03 11:22:39.276746,,Loan Management System
LN00000120,CUST00003424,Business Loan,14292518.55,11.51,105,216578.93,Active,2025-12-04,2026-08-03 11:22:39.276746,,Loan Management System
LN00000121,CUST00001373,Car Loan,1924554.59,17.08,73,42561.72,Active,2024-08-28,2026-08-03 11:22:39.276746,,Loan Management System
LN00000122,CUST00000435,Business Loan,12053255.07,10.21,43,335882.18,Closed,2024-10-14,2026-08-03 11:22:39.277736,,Loan Management System
LN00000123,CUST00000945,Home Loan,8875496.25,9.3,297,76510.82,Closed,2012-07-15,2026-08-03 11:22:39.277736,,Loan Management System
LN00000124,CUST00003244,Car Loan,1141910.54,12.18,53,27964.35,Active,2015-06-26,2026-08-03 11:22:39.277736,,Loan Management System
LN00000125,CUST00003962,Home Loan,8079407.39,10.41,201,85079.59,Closed,2025-07-26,2026-08-03 11:22:39.277736,,Loan Management System
LN00000126,CUST00004606,Car Loan,734957.99,9.28,64,14602.48,Active,2012-02-18,2026-08-03 11:22:39.278742,,Loan Management System
LN00000127,CUST00002512,Education Loan,2793376.42,13.93,161,38417.98,Active,2025-04-13,2026-08-03 11:22:39.278742,,Loan Management System
LN00000128,CUST00004106,Home Loan,3295238.02,11.15,184,37447.11,Active,2016-12-14,2026-08-03 11:22:39.278742,,Loan Management System
LN00000129,CUST00004966,Car Loan,1525129.37,12.61,66,32156.71,Written Off,2018-05-30,2026-08-03 11:22:39.278742,,Loan Management System
LN00000130,CUST00004498,Car Loan,1185069.48,11.72,51,29613.18,Active,2016-02-21,2026-08-03 11:22:39.279736,,Loan Management System
LN00000131,CUST00001866,Home Loan,2329550.79,7.87,334,17217.83,Written Off,2012-09-17,2026-08-03 11:22:39.279736,,Loan Management System
LN00000132,CUST00002448,Car Loan,736314.72,14.99,47,20807.52,Closed,2015-03-06,2026-08-03 11:22:39.279736,,Loan Management System
LN00000133,CUST00003252,Gold Loan,1323476.25,9.75,9,153091.39,Closed,2021-03-27,2026-08-03 11:22:39.279736,,Loan Management System
LN00000134,CUST00000108,Personal Loan,573277.55,9.98,57,12670.02,Active,2026-06-30,2026-08-03 11:22:39.280742,,Loan Management System
LN00000135,CUST00004912,Personal Loan,1462727.65,12.86,56,34872.82,Pending,2023-10-19,2026-08-03 11:22:39.280742,,Loan Management System
LN00000136,CUST00004739,Car Loan,2307818.09,7.68,13,185579.03,Closed,2016-12-09,2026-08-03 11:22:39.280742,,Loan Management System
LN00000137,CUST00003601,Personal Loan,688679.76,8.62,15,48594.45,Active,2015-03-16,2026-08-03 11:22:39.280742,,Loan Management System
LN00000138,CUST00002061,Business Loan,2724699.24,7.25,74,45771.69,Active,2022-09-26,2026-08-03 11:22:39.280742,,Loan Management System
LN00000139,CUST00001795,Car Loan,350105.41,8.22,84,5495.27,Pending,2020-01-30,2026-08-03 11:22:39.280742,,Loan Management System
LN00000140,CUST00001539,Home Loan,2857814.07,12.92,273,32516.59,Closed,2018-04-26,2026-08-03 11:22:39.280742,,Loan Management System
LN00000141,CUST00004901,Education Loan,980179.83,12.51,151,12916.23,Pending,2022-07-10,2026-08-03 11:22:39.282398,,Loan Management System
LN00000142,CUST00004982,Personal Loan,903361.45,11.43,48,23536.94,Closed,2019-05-24,2026-08-03 11:22:39.282398,,Loan Management System
LN00000143,CUST00004543,Car Loan,2272250.06,17.4,38,78196.89,Closed,2014-01-06,2026-08-03 11:22:39.282398,,Loan Management System
LN00000144,CUST00002699,Personal Loan,167721.82,9.26,47,4268.31,Active,2016-02-03,2026-08-03 11:22:39.283477,,Loan Management System
LN00000145,CUST00001795,Home Loan,4779785.19,13.33,209,58954.09,Active,2013-12-17,2026-08-03 11:22:39.283477,,Loan Management System
LN00000146,CUST00003967,Personal Loan,459941.64,16.39,16,32196.78,Closed,2015-10-13,2026-08-03 11:22:39.283477,,Loan Management System
LN00000147,CUST00000882,Gold Loan,1974874.37,13.69,15,143992.2,Active,2024-04-05,2026-08-03 11:22:39.283477,,Loan Management System
LN00000148,CUST00000982,Car Loan,2013377.23,16.95,30,82799.22,Active,2021-02-19,2026-08-03 11:22:39.284355,,Loan Management System
LN00000149,CUST00001562,Home Loan,3422312.22,15.11,351,43632.57,Pending,2020-10-03,2026-08-03 11:22:39.284355,,Loan Management System
LN00000150,CUST00001056,Personal Loan,729612.06,10.0,37,22996.68,Pending,2016-01-21,2026-08-03 11:22:39.284355,,Loan Management System
LN00000151,CUST00003191,Car Loan,1582626.61,7.43,17,98368.82,Defaulted,2024-04-17,2026-08-03 11:22:39.285355,,Loan Management System
LN00000152,CUST00000833,Education Loan,2454483.2,6.8,94,33752.58,Written Off,2021-07-13,2026-08-03 11:22:39.285355,,Loan Management System
LN00000153,CUST00004584,Business Loan,11716382.63,17.43,109,214783.02,Closed,2018-11-16,2026-08-03 11:22:39.285355,,Loan Management System
LN00000154,CUST00004067,Personal Loan,108335.93,15.2,42,3342.03,Active,2021-07-06,2026-08-03 11:22:39.285355,,Loan Management System
LN00000155,CUST00002262,Personal Loan,453327.03,17.96,39,15428.7,Closed,2018-05-19,2026-08-03 11:22:39.286358,,Loan Management System
LN00000156,CUST00004097,Personal Loan,182301.49,10.5,33,6384.15,Active,2017-09-29,2026-08-03 11:22:39.286358,,Loan Management System
LN00000157,CUST00002487,Home Loan,2027836.1,11.23,313,20064.14,Active,2015-04-26,2026-08-03 11:22:39.286358,,Loan Management System
LN00000158,CUST00004961,Gold Loan,2038575.94,12.83,32,75560.27,Active,2013-12-09,2026-08-03 11:22:39.287355,,Loan Management System
LN00000159,CUST00000881,Personal Loan,218086.32,15.38,44,6515.62,Closed,2020-04-03,2026-08-03 11:22:39.287355,,Loan Management System
LN00000160,CUST00002880,Home Loan,8758991.1,11.81,87,150322.1,Active,2019-12-25,2026-08-03 11:22:39.287355,,Loan Management System
LN00000161,CUST00002853,Personal Loan,1146842.57,13.69,60,26501.06,Active,2013-02-17,2026-08-03 11:22:39.287355,,Loan Management System
LN00000162,CUST00004635,Personal Loan,239969.18,9.81,56,5357.81,Active,2024-06-11,2026-08-03 11:22:39.288354,,Loan Management System
LN00000163,CUST00004972,Home Loan,6485211.63,15.69,141,100963.78,Active,2012-05-21,2026-08-03 11:22:39.288354,,Loan Management System
LN00000164,CUST00002154,Home Loan,4375911.53,9.08,118,56202.26,Active,2026-03-27,2026-08-03 11:22:39.288354,,Loan Management System
LN00000165,CUST00003068,Home Loan,8405360.15,12.23,209,97359.27,Active,2013-06-14,2026-08-03 11:22:39.288354,,Loan Management System
LN00000166,CUST00003794,Personal Loan,1260349.72,17.77,27,56971.91,Active,2014-03-09,2026-08-03 11:22:39.289354,,Loan Management System
LN00000167,CUST00002582,Home Loan,2310798.52,13.39,129,33880.88,Defaulted,2022-04-05,2026-08-03 11:22:39.289354,,Loan Management System
LN00000168,CUST00003502,Personal Loan,1195508.96,11.27,44,33295.72,Active,2014-04-23,2026-08-03 11:22:39.289354,,Loan Management System
LN00000169,CUST00004913,Home Loan,7397484.33,16.13,356,100299.37,Written Off,2025-01-22,2026-08-03 11:22:39.289354,,Loan Management System
LN00000170,CUST00003823,Personal Loan,265463.36,12.69,34,9336.09,Active,2023-03-01,2026-08-03 11:22:39.290354,,Loan Management System
LN00000171,CUST00001199,Education Loan,1571119.21,17.23,84,32316.26,Written Off,2018-10-08,2026-08-03 11:22:39.290354,,Loan Management System
LN00000172,CUST00004020,Home Loan,4138223.06,16.34,270,57849.84,Active,2021-09-24,2026-08-03 11:22:39.290354,,Loan Management System
LN00000173,CUST00001470,Education Loan,2850388.74,15.83,134,45451.42,Written Off,2012-08-31,2026-08-03 11:22:39.290354,,Loan Management System
LN00000174,CUST00002749,Education Loan,2642874.11,8.25,45,68483.17,Active,2018-02-17,2026-08-03 11:22:39.291458,,Loan Management System
LN00000175,CUST00003382,Gold Loan,846686.89,7.65,31,30186.81,Active,2018-01-29,2026-08-03 11:22:39.291458,,Loan Management System
LN00000176,CUST00003671,Business Loan,799278.16,8.16,95,11449.18,Written Off,2021-09-21,2026-08-03 11:22:39.291458,,Loan Management System
LN00000177,CUST00000552,Home Loan,7924490.27,9.55,263,72020.58,Closed,2019-07-20,2026-08-03 11:22:39.292353,,Loan Management System
LN00000178,CUST00003878,Business Loan,17120656.06,16.38,60,419805.75,Written Off,2020-08-02,2026-08-03 11:22:39.292353,,Loan Management System
LN00000179,CUST00001507,Car Loan,2684828.31,12.11,81,48676.65,Active,2015-11-12,2026-08-03 11:22:39.292353,,Loan Management System
LN00000180,CUST00000124,Home Loan,6496029.66,17.09,176,100888.56,Closed,2020-12-30,2026-08-03 11:22:39.292955,,Loan Management System
LN00000181,CUST00003181,Personal Loan,192742.53,13.79,18,11914.73,Active,2026-03-25,2026-08-03 11:22:39.292955,,Loan Management System
LN00000182,CUST00003073,Car Loan,2729587.37,7.03,19,152226.17,Active,2011-10-13,2026-08-03 11:22:39.292955,,Loan Management System
LN00000183,CUST00000897,Personal Loan,261076.2,12.61,48,6953.59,Closed,2023-02-28,2026-08-03 11:22:39.292955,,Loan Management System
LN00000184,CUST00003788,Home Loan,2163158.87,13.51,255,25841.12,Closed,2023-11-06,2026-08-03 11:22:39.294049,,Loan Management System
LN00000185,CUST00001898,Home Loan,9171875.65,8.15,296,72002.38,Closed,2013-07-14,2026-08-03 11:22:39.294049,,Loan Management System
LN00000186,CUST00002600,Personal Loan,1016919.04,16.84,41,32787.73,Pending,2023-03-09,2026-08-03 11:22:39.294049,,Loan Management System
LN00000187,CUST00004981,Car Loan,642331.74,11.58,56,14901.19,Written Off,2020-09-20,2026-08-03 11:22:39.294049,,Loan Management System
LN00000188,CUST00003863,Personal Loan,1444942.16,14.44,41,44855.61,Closed,2024-05-11,2026-08-03 11:22:39.295052,,Loan Management System
LN00000189,CUST00002471,Home Loan,4154585.87,12.06,181,49924.12,Active,2016-02-15,2026-08-03 11:22:39.295052,,Loan Management System
LN00000190,CUST00002190,Personal Loan,479014.97,14.54,13,40047.82,Written Off,2024-08-29,2026-08-03 11:22:39.295052,,Loan Management System
LN00000191,CUST00002786,Car Loan,968545.06,13.01,18,59519.28,Pending,2022-06-28,2026-08-03 11:22:39.295052,,Loan Management System
LN00000192,CUST00000076,Education Loan,3348071.71,16.88,94,64426.88,Closed,2017-05-16,2026-08-03 11:22:39.295052,,Loan Management System
LN00000193,CUST00000645,Personal Loan,973095.92,13.64,55,23892.78,Closed,2013-06-26,2026-08-03 11:22:39.296047,,Loan Management System
LN00000194,CUST00004189,Education Loan,2755334.87,8.07,60,55960.61,Pending,2016-07-30,2026-08-03 11:22:39.296047,,Loan Management System
LN00000195,CUST00004498,Car Loan,1065012.08,11.57,58,24058.7,Closed,2018-12-25,2026-08-03 11:22:39.296047,,Loan Management System
LN00000196,CUST00000026,Home Loan,3303549.29,15.1,149,49204.91,Active,2014-04-11,2026-08-03 11:22:39.296047,,Loan Management System
