branch_id,branch_name,city,state,country,zip_code,manager_employee_id,opened_date,created_at,updated_at,source_system
BR00000018,ALAPPUZHA Financial Centre,ALAPPUZHA,KERALA,India,690529,,1997-08-07,2026-08-03 11:19:26.780462,,Enterprise System
BR00000019,GHAZIABAD Commercial Branch,GHAZIABAD,UTTAR PRADESH,India,201019,,1999-10-10,2026-08-03 11:19:26.781468,,Enterprise System
BR00000020,PALAKKAD Main Branch,PALAKKAD,KERALA,India,679515,,2004-01-10,2026-08-03 11:19:26.782467,,Enterprise System
BR00000021,DIBRUGARH Retail Branch,DIBRUGARH,ASSAM,India,786613,,2004-07-02,2026-08-03 11:19:26.782467,,Enterprise System
BR00000022,HAVERI Regional Office,HAVERI,KARNATAKA,India,581202,,2013-10-12,2026-08-03 11:19:26.782467,,Enterprise System
BR00000023,MAHABUBABAD Business Centre,MAHABUBABAD,TELANGANA,India,506381,,2017-01-25,2026-08-03 11:19:26.783709,,Enterprise System
BR00000024,KARUR Commercial Branch,KARUR,TAMIL NADU,India,639110,,1997-06-27,2026-08-03 11:19:26.784707,,Enterprise System
BR00000025,WEST JAINTIA HILLS Retail Branch,WEST JAINTIA HILLS,MEGHALAYA,India,793119,,2015-09-06,2026-08-03 11:19:26.784707,,Enterprise System
BR00000026,AURANGABAD Corporate Branch,AURANGABAD,BIHAR,India,824143,,2003-05-09,2026-08-03 11:19:26.785705,,Enterprise System
BR00000027,EAST Business Centre,EAST,DELHI,India,110091,,2020-12-12,2026-08-03 11:19:26.785705,,Enterprise System
BR00000028,PURBI CHAMPARAN City Branch,PURBI CHAMPARAN,BIHAR,India,845419,,2018-09-12,2026-08-03 11:19:26.787087,,Enterprise System
BR00000029,BALESHWAR City Branch,BALESHWAR,ODISHA,India,756051,,2020-06-12,2026-08-03 11:19:26.787087,,Enterprise System
BR00000030,PASCHIM BARDHAMAN Regional Office,PASCHIM BARDHAMAN,WEST BENGAL,India,713212,,2015-02-16,2026-08-03 11:19:26.788102,,Enterprise System
BR00000031,LUDHIANA City Branch,LUDHIANA,PUNJAB,India,141120,,2010-11-10,2026-08-03 11:19:26.789097,,Enterprise System
BR00000032,GONDIA Business Centre,GONDIA,MAHARASHTRA,India,441806,,2004-02-01,2026-08-03 11:19:26.789097,,Enterprise System
BR00000033,ANAND Business Centre,ANAND,GUJARAT,India,388150,,2011-11-14,2026-08-03 11:19:26.790098,,Enterprise System
BR00000034,NAVSARI Commercial Branch,NAVSARI,GUJARAT,India,396380,,2016-08-20,2026-08-03 11:19:26.790098,,Enterprise System
BR00000035,PANCH MAHALS Main Branch,PANCH MAHALS,GUJARAT,India,389210,,2006-01-19,2026-08-03 11:19:26.791097,,Enterprise System
BR00000036,SONIPAT Financial Centre,SONIPAT,HARYANA,India,131305,,2024-02-16,2026-08-03 11:19:26.791097,,Enterprise System
BR00000037,PURNIA City Branch,PURNIA,BIHAR,India,854327,,1996-10-21,2026-08-03 11:19:26.792606,,Enterprise System
BR00000038,DHANBAD Regional Office,DHANBAD,JHARKHAND,India,828401,,2022-05-28,2026-08-03 11:19:26.792606,,Enterprise System
BR00000039,CHITTOOR City Branch,CHITTOOR,ANDHRA PRADESH,India,517643,,2024-01-02,2026-08-03 11:19:26.793868,,Enterprise System
BR00000040,CHIKKABALLAPURA Commercial Branch,CHIKKABALLAPURA,KARNATAKA,India,561213,,2002-01-07,2026-08-03 11:19:26.793868,,Enterprise System
BR00000041,UTTARA KANNADA Business Centre,UTTARA KANNADA,KARNATAKA,India,581314,,2020-05-04,2026-08-03 11:19:26.794885,,Enterprise System
BR00000042,BHAVNAGAR Corporate Branch,BHAVNAGAR,GUJARAT,India,364145,,2010-12-19,2026-08-03 11:19:26.794885,,Enterprise System
BR00000043,JHANSI City Branch,JHANSI,UTTAR PRADESH,India,284419,,2008-02-29,2026-08-03 11:19:26.796349,,Enterprise System
BR00000044,HYDERABAD Main Branch,HYDERABAD,TELANGANA,India,500063,,2006-01-15,2026-08-03 11:19:26.796349,,Enterprise System
BR00000045,TIRUCHIRAPPALLI Corporate Branch,TIRUCHIRAPPALLI,TAMIL NADU,India,621305,,2001-11-16,2026-08-03 11:19:26.797361,,Enterprise System
BR00000046,MADURAI Commercial Branch,MADURAI,TAMIL NADU,India,625020,,2003-11-29,2026-08-03 11:19:26.797361,,Enterprise System
BR00000047,MALAPPURAM City Branch,MALAPPURAM,KERALA,India,676562,,2022-07-25,2026-08-03 11:19:26.798359,,Enterprise System
BR00000048,MANCHERIAL Corporate Branch,MANCHERIAL,TELANGANA,India,504201,,2008-01-15,2026-08-03 11:19:26.799359,,Enterprise System
BR00000049,PASCHIM BARDHAMAN City Branch,PASCHIM BARDHAMAN,WEST BENGAL,India,713361,,2000-01-24,2026-08-03 11:19:26.799359,,Enterprise System
BR00000050,JAIPUR Regional Office,JAIPUR,RAJASTHAN,India,303002,,1999-09-28,2026-08-03 11:19:26.800360,,Enterprise System
